#{"t_start": 1774499007.4843695, "env_id": "None"}
r,l,t
-100.025035,148,34052.985352
127.652436,163,34072.764826
116.179588,157,34091.34527
-128.227731,114,34105.342431
-109.229949,121,34120.102719
-299.524897,171,34556.144681
-101.345977,143,34575.128602
109.317893,86,34585.889416
-110.285264,143,34602.903155
32.59155,344,34643.288527
-94.556205,132,34658.877765
-90.507145,207,34683.638691
-108.836152,160,34702.425317
-157.27986,223,34728.546727
-35.967331,600,34800.390248
112.116643,142,34817.191247
-106.387692,241,34845.880455
109.659483,101,34857.960102
136.784836,445,34909.931854
-99.694343,217,34935.452114
146.4008,377,34978.98857
100.872741,128,34994.551418
-122.280166,191,35018.763736
105.103692,147,35036.596678
-109.633703,218,35062.367158
-116.043898,164,35081.627071
30.669685,198,35104.703177
-124.280011,164,35126.298007
-104.53354,190,35148.725039
-113.508071,151,35166.577504
112.768323,55,35173.719359
133.110536,341,35213.580337
149.233092,241,35244.153961
115.421008,187,35268.039285
-142.445463,189,35290.861801
-125.400186,169,35311.034276
-133.07279,251,35340.637659
-129.541265,148,35358.170779
-161.631271,400,35405.239745
-114.886587,152,35423.0883
133.313237,198,35448.598873
118.674968,264,35479.582442
-110.578433,167,35499.184018
37.556677,286,35533.072454
-137.69317,225,35559.459127
135.891261,304,35594.934239
137.82941,299,35629.87976
-111.211723,190,35652.080792
-156.607719,309,35688.221482
101.509808,371,35733.954541
-230.514452,142,36738.03534
108.591186,66,36746.392179
111.772884,97,36758.268883
-135.950381,164,36777.945003
109.388279,301,36813.486718
-116.091993,156,36832.228081
-86.878674,342,36874.339172
-126.00437,175,36895.224108
128.512434,122,36909.985847
-106.745853,201,36933.849486
-174.758087,381,36978.648671
-97.246347,117,36992.80926
-149.287347,189,37015.331427
115.445738,111,37030.740025
134.161489,312,37067.85521
90.894231,209,37092.834222
-152.259589,181,37114.425454
106.725912,93,37125.845134
-118.945184,209,37150.705023
-125.517639,167,37170.741968
-155.857405,439,37224.529047
130.63711,174,37245.261474
110.678976,62,37253.138503
-86.883419,181,37274.763287
-12.527144,379,37319.254413
-129.997529,171,37339.709667
125.07945,114,37353.557606
137.779633,149,37371.528195
-168.772227,275,37405.804457
139.886108,266,37439.094615
-129.617757,248,37468.35808
-124.729685,187,37490.680826
-202.436358,307,37526.90239
-113.194791,153,37545.298807
136.008881,371,37588.996396
109.357205,216,37614.626221
115.389847,87,37625.39283
110.546738,146,37642.946002
45.885091,303,37678.76415
91.683642,145,37698.3337
137.176348,298,37735.165089
-145.047755,288,37769.174293
106.281743,189,37791.648372
