#{"t_start": 1774620676.1220536, "env_id": "None"}
r,l,t
132.324329,90,7031.476939
127.529247,56,7039.901793
130.391645,63,7047.254284
-534.039154,91,7308.669356
-84.1692,81,7317.942876
-69.966965,75,7326.580501
-84.256454,61,7335.526656
-90.653824,59,7342.452295
149.42432,78,7351.383283
-106.616535,116,7364.327431
145.43498,204,7386.590761
114.369129,86,7396.365945
141.404746,59,7403.292397
104.950523,141,7418.879008
-104.441475,159,7436.352528
-122.639429,160,7453.968809
123.706769,40,7458.911004
121.389591,47,7464.562315
37.082639,326,7501.486581
126.878836,73,7509.905881
136.421434,74,7518.422433
128.725404,54,7524.829587
-113.293204,134,7539.690637
98.416705,126,7553.69794
121.540034,57,7560.423913
141.988587,67,7568.214887
-87.101415,85,7577.899928
-77.523335,101,7589.268868
118.556557,41,7594.302012
-87.876793,72,7602.614223
-88.267872,43,7607.85634
-118.241625,432,7654.17517
120.868669,83,7663.713559
-93.166068,64,7671.167508
139.922185,63,7678.621189
-71.398604,61,7685.755748
102.85562,277,7715.69051
-70.153585,82,7725.046474
126.818308,56,7731.658675
131.543967,50,7737.644816
-15.195882,600,7803.509599
140.88457,213,7828.502757
133.432984,80,7839.470211
-88.123798,67,7847.263266
107.860505,77,7856.139071
-73.445983,59,7863.058655
133.062884,70,7872.945564
147.8391,84,7882.517201
-78.54973,69,7890.504538
132.568265,54,7896.915489
176.596144,103,7908.478173
150.144859,77,7917.307509
99.011572,68,7925.208899
-145.204251,144,7941.117273
135.995044,46,7946.675194
143.206314,80,7955.81535
-79.996756,58,7964.432491
-77.484088,93,7974.947754
-96.096219,91,7985.258986
123.638102,32,7989.430583
-70.283152,77,7998.264089
133.165324,46,8003.913481
-100.787349,125,8017.795883
137.885346,90,8027.995348
137.04864,56,8034.608338
138.786379,67,8042.381658
-122.023134,167,8060.708469
128.268871,75,8069.323328
141.524514,95,8080.105022
119.098865,51,8086.200678
114.116766,35,8090.598995
-69.26589,71,8098.797734
121.247581,71,8107.013934
159.012863,92,8117.439771
150.086484,135,8132.37478
142.535683,134,8147.221881
126.06748,46,8154.589993
-77.166939,69,8162.570688
-103.866356,104,8174.26155
-76.990549,65,8181.829759
-81.21038,70,8189.915351
157.676339,77,8198.757859
123.446196,42,8203.900898
118.769809,33,8208.089204
131.981951,40,8213.025987
117.443268,96,8223.86415
156.246853,71,8232.071892
-96.132169,101,8243.448216
129.805823,51,8249.547359
115.977218,20,8252.37052
124.664182,48,8258.188275
-82.840362,56,8264.808806
148.500449,84,8274.382302
-79.634399,104,8286.118635
-78.166704,39,8290.994825
132.666722,51,8297.127354
-75.474731,74,8305.733876
-84.635235,65,8313.383597
129.823184,56,8320.114807
-113.056101,89,8332.132635
144.040828,80,8341.368777
140.4645,54,8347.848285
-94.555138,83,8357.322087
94.281731,373,8397.425773
-78.501688,80,8406.618373
120.514621,73,8415.024041
131.580494,59,8421.949456
117.16747,23,8425.095771
-64.0677,82,8434.475485
153.593218,76,8443.20445
131.909702,58,8450.039313
-476.540796,69,8696.719444
114.468746,37,8701.333971
-57.513729,189,8721.960653
-70.382386,119,8735.195029
-129.623087,120,8748.533136
173.47634,101,8759.900285
147.349519,54,8766.275793
123.571673,70,8776.156642
-77.619436,66,8783.820205
171.694101,120,8797.169467
-118.850578,118,8812.110188
115.524229,61,8819.24755
120.090625,30,8823.126415
-84.489491,48,8828.89478
134.422912,77,8837.704904
-93.368139,57,8844.408376
142.695398,61,8851.52836
-97.130837,86,8861.339118
-86.356868,96,8873.963831
129.654997,71,8882.133796
-100.003399,88,8892.117238
-78.33263,49,8897.98307
124.690557,40,8902.900082
147.671436,81,8912.125206
-101.871162,56,8918.721446
122.543438,44,8925.85312
-73.560645,86,8935.597914
133.99238,89,8945.663731
94.89766,85,8955.311335
-108.254653,82,8964.64468
-103.419856,79,8973.678304
136.253398,65,8981.227269
-93.491371,115,8994.049304
169.700892,106,9005.892437
141.446726,96,9016.716891
117.301581,21,9019.628613
114.415256,54,9026.010502
-105.832777,88,9035.980477
155.869006,71,9044.162319
122.802033,36,9048.666949
114.189047,74,9058.965068
122.661208,30,9062.826337
134.41353,60,9069.842439
141.081041,52,9077.815421
-105.521263,79,9086.847815
146.401293,81,9096.081941
-83.429366,58,9102.888781
185.617008,108,9114.950215
136.87353,60,9121.97657
119.455522,49,9127.832619
136.542659,91,9138.103393
144.018254,86,9147.869303
-72.958585,52,9154.049616
140.387952,52,9160.240767
152.74643,78,9169.142789
141.96585,55,9175.638221
-88.591706,70,9183.735273
118.93615,22,9186.754178
135.097409,68,9194.608281
126.260111,51,9202.49037
147.285624,60,9209.510964
167.523928,119,9222.73645
135.580704,52,9228.915598
119.417245,46,9234.46929
-62.984897,115,9247.28242
-95.422112,73,9255.644264
131.865666,75,9264.268289
143.77024,63,9271.604468
133.721394,49,9277.552696
144.488686,57,9284.257032
-80.996904,37,9288.862763
-88.042677,61,9295.99741
117.668537,28,9301.456378
-82.773574,61,9308.577095
171.210236,127,9322.630619
156.458934,91,9332.977633
-141.690579,119,9346.186304
146.712476,69,9355.946584
134.247596,56,9362.554502
120.545638,214,9385.788356
-16.571656,600,9449.678494
-127.036198,101,9461.077241
-86.303982,46,9466.62263
135.475332,63,9473.948954
133.864186,58,9480.764045
129.394363,47,9486.428014
-77.329955,70,9494.496088
131.109967,75,9503.096049
152.066169,101,9514.436923
119.717161,54,9522.620647
119.360985,38,9527.325001
132.576441,44,9532.673509
145.288173,84,9542.296197
-66.251117,65,9549.835985
122.277439,52,9557.804207
142.208104,68,9565.67921
-93.010995,115,9578.564647
-5.276768,346,9615.713517
-79.970384,85,9625.418877
-118.647348,120,9638.765754
-74.987226,87,9650.418462
120.72031,80,9659.547037
-63.463311,81,9668.763179
-69.755552,67,9676.55342
143.79581,107,9688.512591
-80.6938,36,9693.013927
-85.604759,79,9702.068057
-103.812857,64,9709.50232
-72.750296,63,9716.816936
167.74153,119,9730.032838
160.924334,84,9741.388765
-78.523209,70,9749.462989
-33.17362,149,9765.844889
128.862489,89,9775.916374
147.823403,88,9785.882237
136.045884,113,9800.281606
136.84201,40,9805.20554
131.498217,43,9810.427151
152.394766,81,9819.645501
-93.345793,79,9828.671793
132.975668,48,9836.230903
140.866359,77,9845.033597
-54.197894,73,9853.418962
121.93143,35,9857.81904
-293.606471,56,10066.789507
135.274112,58,10073.687467
133.815015,83,10083.122054
131.402142,49,10090.792314
